Channel,Rank,Bank,Row,AvgOpenDuration,OpenCount,AvgReopenInterval,TotalRefreshes,AvgRefreshesBetweenReopens
0,0,0,5090,10769.7,35,173942,2571,73.4571
0,0,0,5220,950783,9,1.77001e+06,2571,285.667
0,0,0,5221,2845,6,1.19698e+06,2571,428.5
0,0,0,5237,3.01445e+06,2,3.01456e+06,2571,1285.5
0,0,0,5348,1.53984e+06,6,4.66718e+06,2571,428.5
0,0,0,5412,2.40984e+06,3,2.40989e+06,2571,857
0,0,0,5480,1.48841e+06,2,1.48844e+06,2571,1285.5
0,0,0,5998,2.85993e+06,2,2.85997e+06,2571,1285.5
0,0,0,6510,475414,13,1.7936e+06,2571,197.769
0,0,0,6638,427054,8,757555,2571,321.375
0,0,0,6670,771404,4,1.87615e+06,2571,642.75
0,0,0,6916,102666,46,338086,2571,55.8913
0,0,0,6917,38195.3,49,319612,2571,52.4694
0,0,0,6918,60284.1,34,429917,2571,75.6176
0,0,0,6919,23720.8,14,1.12657e+06,2571,183.643
0,0,0,6932,423780,5,853334,2571,514.2
0,0,0,6950,659545,19,1.99491e+06,2571,135.316
0,0,0,6951,2975.33,12,1.1895e+06,2571,214.25
0,0,0,6993,42248.3,3,955251,2571,857
0,0,0,7000,430013,8,795196,2571,321.375
0,0,0,7001,1.90251e+06,5,1.98553e+06,2571,514.2
0,0,0,7002,3420.5,8,1.15785e+06,2571,321.375
0,0,0,7003,53135.1,14,1.3365e+06,2571,183.643
0,0,0,7028,141460,7,464330,2571,367.286
0,0,0,7029,923563,8,2.83019e+06,2571,321.375
0,0,0,7030,458579,13,1.23181e+06,2571,197.769
0,0,0,7031,400933,11,1.75664e+06,2571,233.727
0,0,0,7048,786267,31,1.12865e+06,2571,82.9355
0,0,0,7049,1.09194e+06,23,1.51017e+06,2571,111.783
0,0,0,7051,358394,6,1.37407e+06,2571,428.5
0,0,0,7096,625.571,7,3.15368e+06,2571,367.286
0,0,0,7097,1.26451e+06,9,2.24007e+06,2571,285.667
0,0,0,7446,218200,22,1.09577e+06,2571,116.864
0,0,0,7447,631.143,7,2.43352e+06,2571,367.286
0,0,0,7448,152662,117,322862,2571,21.9744
0,0,0,7449,45888.6,314,116455,2571,8.1879
0,0,0,7462,1.5666e+06,4,2.07817e+06,2571,642.75
0,0,0,7474,620228,15,2.39475e+06,2571,171.4
0,0,0,7477,383360,47,430857,2571,54.7021
0,0,0,7503,67047.5,232,165632,2571,11.0819
0,0,0,7581,173825,106,274336,2571,24.2547
0,0,0,7582,3.82907e+06,3,9.27205e+06,2571,857
0,0,0,7606,553.328,61,3320.95,2571,42.1475
0,0,0,7740,1.30042e+06,8,1.90104e+06,2571,321.375
0,0,0,7741,3.84757e+06,2,3.84761e+06,2571,1285.5
0,0,0,7961,676964,4,3.67845e+06,2571,642.75
0,0,0,8089,712681,4,712758,2571,642.75
0,0,0,8613,1.5817e+06,3,1.58178e+06,2571,857
0,0,0,8647,956.333,3,6210.33,2571,857
0,0,0,8862,2.007e+06,4,2.00705e+06,2571,642.75
0,0,0,8894,1.03135e+06,2,1.03138e+06,2571,1285.5
0,0,0,9956,104350,16,625451,2571,160.688
0,0,0,9957,2641.74,23,761056,2571,111.783
0,0,0,9958,62238.4,52,736575,2571,49.4423
0,0,0,9959,187103,39,458267,2571,65.9231
0,0,0,10280,53939,165,101617,2571,15.5818
0,0,0,10282,20593.8,19,847917,2571,135.316
0,0,0,10283,407787,34,1.0786e+06,2571,75.6176
0,0,0,10311,332751,10,881983,2571,257.1
0,0,0,10407,68420.3,15,889187,2571,171.4
0,0,0,10778,474082,7,1.54471e+06,2571,367.286
0,0,0,11884,4.19828e+06,2,4.19832e+06,2571,1285.5
0,0,0,12204,1.26701e+06,4,3.32888e+06,2571,642.75
0,0,0,12332,9.11179e+06,2,9.11182e+06,2571,1285.5
0,0,0,13515,172927,10,650961,2571,257.1
0,0,0,14943,201714,23,412173,2571,111.783
0,0,0,14944,267981,52,371078,2571,49.4423
0,0,0,14947,586555,8,1.71831e+06,2571,321.375
0,0,0,14949,733568,4,1.11089e+06,2571,642.75
0,0,0,14953,504824,28,813278,2571,91.8214
0,0,0,14956,2744.75,4,3641,2571,642.75
0,0,0,14962,300725,29,816523,2571,88.6552
0,0,0,14963,420634,16,997436,2571,160.688
0,0,0,14966,1.0938e+06,10,1.81186e+06,2571,257.1
0,0,0,14968,1.5219e+06,5,4.61944e+06,2571,514.2
0,0,0,14972,4.68736e+06,2,4.68744e+06,2571,1285.5
0,0,0,14978,1.81208e+06,6,2.29282e+06,2571,428.5
0,0,0,14982,1.81284e+06,14,2.27502e+06,2571,183.643
0,0,0,14984,345867,31,606978,2571,82.9355
0,0,0,14985,381017,26,1.41672e+06,2571,98.8846
0,0,0,14995,45,2,80,2571,1285.5
0,0,0,14996,436269,12,1.355e+06,2571,214.25
0,0,0,14997,357569,24,682871,2571,107.125
0,0,0,14998,217232,24,1.18764e+06,2571,107.125
0,0,0,14999,342048,28,639853,2571,91.8214
0,0,0,15001,1.47555e+06,8,2.10342e+06,2571,321.375
0,0,0,15006,1.23152e+06,9,1.6878e+06,2571,285.667
0,0,0,15008,461104,13,1.13832e+06,2571,197.769
0,0,0,15028,34955,13,1.23791e+06,2571,197.769
0,0,0,15029,97.8333,6,1393.33,2571,428.5
